"company","year","region","country","icb_sector","rank","rd_million","rd_growth_1y_percent","rd_intensity_percent","sales_million","sales_growth_1y_percent","employees","employees_growth_1y_percent","capex_million","capex_growth_1y_percent","capex_intensity_percent","profit_million","profit_growth_1y_percent","profitability_percent","patents_2010_2019","performance group","Summary Innovation Index","New doctorate graduates","Population with tertiary education","Population involved in lifelong learning","International scientific co-publications","Scientific publications among the top 10% most cited","Foreign doctorate students as a % of all doctorate students","Individuals with above basic overall digital skills","R&D expenditure in the public sector","Venture capital expenditures","Direct and indirect government support of business R&D","R&D expenditure in the business sector","Employed ICT specialists","SMEs introducing product innovations","SMEs introducing business process innovations","Innovative SMEs collaborating with others","Public-private co-publications","Job-to-job mobility of HRST","PCT patent applications","Trademark applications","Design applications","Employment in knowledge-intensive activities","Employment in innovative enterprises","Exports of medium and high technology products","Knowledge-intensive services exports","Sales of new-to-market and new-to-firm innovations","Resource productivity","Air emissions by fine particulates","Environment-related technologies","Broadband penetration","Non-R&D innovation expenditures","Innovation expenditures per person employed","Enterprises providing ICT training","Human resources","Attractive research systems","Digitalisation","Firm investments","Use of information technologies","Innovators","Linkages","Intellectual assets","Employment impacts","Sales impacts","Environmental sustainability","Finance and support"
"VATTENFALL",2019,"EU","Sweden","Electricity",315,84.714674,55.5360270579199,0.531978836293465,15924.444399,6.08070193414623,19815,-0.477147162230041,2520.859841,23.0320018782531,15.830127430746,2119.398433,25.6654747794921,13.3090887185558,13,"Leader",138.4,146.3,147.3,274.3,284.9,137.4,213,141.1,136.1,102.6,85.3,172.2,200,124.1,96.7,147.5,447.6,120.6,133.2,129.8,103.9,173.5,120.4,85.6,98.8,50.1,69,104.5,108.6,199.7,119.1,191.6,175.2,179.7,188.9,170.4,160.5,187.8,110.1,196.7,122.7,145.7,81.1,96.9,111.3
"IPSEN",2017,"EU","France","Pharmaceuticals & Biotechnology",114,265.8,27.2,13.9,1908.7,20.5,5401,10.1,84.9,4.6,4.4,397.2,14.3,20.8,239,"Strong",112.7,123.2,153.3,102,94.4,96.1,232.4,121.3,103.3,148.2,230,105.3,100,111.7,137,149.6,131.4,94.1,104.4,76.5,66.5,114.5,129.4,94.5,83.5,74.1,138,106.2,113.6,144.6,75.3,122.7,64.3,127.3,128.8,133,100.7,82.4,124.7,122.1,85,122.1,85.5,116.4,152.9
"IPSEN",2018,"EU","France","Pharmaceuticals & Biotechnology",110,302.1,13.6568848758465,13.5787486515642,2224.8,16.5610101115943,5723,5.96185891501573,107.4,26.5017667844523,4.82740021574973,530.8,29.9706170421156,23.8583243437612,239,"Strong",112.7,111.6,153.3,102,97.5,93.9,232.4,121.3,101.6,153.9,230,106,100,111.7,137,149.6,132.8,94.1,104.6,76.8,64.6,114.5,129.4,93,85.3,74.1,152.9,105.8,114.2,144.6,75.3,122.7,64.3,122.6,128.2,133,100.9,82.4,124.7,122.1,84.5,122.1,85.5,120,154
"IPSEN",2019,"EU","France","Pharmaceuticals & Biotechnology",94,388.8,28.6991062562066,15.0919959630463,2576.2,15.7946781733189,5807,1.46776166346323,144.5,34.5437616387337,5.60903656548405,635.4,19.7061039939714,24.6642341433119,239,"Strong",113.3,123.2,153.3,102,99.4,94.9,232.4,121.3,98.4,154.8,230,105.3,100,111.7,137,149.6,133.5,117.6,103,77.7,65.1,114.5,129.4,92.5,81.4,74.1,159.3,105.8,107.4,144.6,75.3,122.7,64.3,127.3,129.3,133,100.7,82.4,124.7,132.6,84.2,122.1,83.9,119.5,153.1
"DASSAULT AVIATION",2017,"EU","France","Aerospace & Defense",109,279.9,2.9,5.8,4832.6,32.3,11558,-5,76.1,-29.3,1.6,1414.5,-1.5,29.3,178,"Strong",112.7,123.2,153.3,102,94.4,96.1,232.4,121.3,103.3,148.2,230,105.3,100,111.7,137,149.6,131.4,94.1,104.4,76.5,66.5,114.5,129.4,94.5,83.5,74.1,138,106.2,113.6,144.6,75.3,122.7,64.3,127.3,128.8,133,100.7,82.4,124.7,122.1,85,122.1,85.5,116.4,152.9
"DASSAULT AVIATION",2018,"EU","France","Aerospace & Defense",92,359.332,28.3805413439277,7.01927383845075,5119.219,4.45083532609138,11395,-1.41027859491262,131.796,73.2175010185708,2.57453334190235,1897.248,46.6596580192326,37.0612782926458,178,"Strong",112.7,111.6,153.3,102,97.5,93.9,232.4,121.3,101.6,153.9,230,106,100,111.7,137,149.6,132.8,94.1,104.6,76.8,64.6,114.5,129.4,93,85.3,74.1,152.9,105.8,114.2,144.6,75.3,122.7,64.3,122.6,128.2,133,100.9,82.4,124.7,122.1,84.5,122.1,85.5,120,154
"DASSAULT AVIATION",2019,"EU","France","Aerospace & Defense",74,494.07,37.4967996170672,6.70323891517344,7370.616,43.9793062183899,12757,10.9883417435183,198.013,50.2420407296124,2.68651901008003,1605.789,-15.3621982998533,21.7863608686167,178,"Strong",113.3,123.2,153.3,102,99.4,94.9,232.4,121.3,98.4,154.8,230,105.3,100,111.7,137,149.6,133.5,117.6,103,77.7,65.1,114.5,129.4,92.5,81.4,74.1,159.3,105.8,107.4,144.6,75.3,122.7,64.3,127.3,129.3,133,100.7,82.4,124.7,132.6,84.2,122.1,83.9,119.5,153.1
"SOLVAY",2017,"EU","Belgium","Chemicals",101,304,-4.7,2.5,11928,-3,24459,-9.5,707,-19.9,5.9,1292,26.8,10.8,1672,"Strong",120.9,100,156.9,93.9,191.9,135,258.1,99.5,96.7,116.6,151.1,124.8,135.5,154.2,127.3,256.4,274,144.1,94.8,96.9,61,134.9,151.7,75.9,95,55.8,139,99.8,66.8,169.4,80,117.4,172.6,116.6,177.7,134.2,107.4,153.7,140.4,211.6,84.3,143.5,77.4,99.3,118.2
"SOLVAY",2018,"EU","Belgium","Chemicals",102,326,7.23684210526316,2.7580372250423,11820,-0.905432595573441,24501,0.171715932785488,691,-2.26308345120226,5.84602368866328,1277,-1.23743232791956,10.8037225042301,1672,"Strong",122.5,100,156.9,93.9,196.7,138.2,270.1,99.5,106.6,118.4,156.2,127.1,135.5,154.2,127.3,256.4,272.1,144.1,93.3,98.6,58.2,134.9,151.7,74.2,96.7,55.8,147.3,99.2,72,169.4,80,117.4,182.2,116.6,183.4,134.2,108.3,158.4,140.4,211.2,83.2,143.5,77.3,102.6,124.1
"SOLVAY",2019,"EU","Belgium","Chemicals",115,317,-2.76073619631901,2.70778166908687,11707,-0.95600676818951,24155,-1.41218725766296,751,8.68306801736614,6.41496540531306,652,-47.9233226837061,5.56931750234902,1672,"Strong",120.1,76.8,156.9,93.9,210.3,129.8,121.6,99.5,108.2,120.4,155,137.6,135.5,154.2,127.3,256.4,296,144.1,91.6,101.4,56.8,134.9,151.7,72.8,97.8,55.8,151.4,99.7,77.4,169.4,80,117.4,188.5,107,145.9,134.2,111.9,161.4,140.4,215.9,82.7,143.5,77.1,105.6,125.1
