"company","year","region","country","icb_sector","rank","rd_million","rd_growth_1y_percent","rd_intensity_percent","sales_million","sales_growth_1y_percent","employees","employees_growth_1y_percent","capex_million","capex_growth_1y_percent","capex_intensity_percent","profit_million","profit_growth_1y_percent","profitability_percent","patents_2010_2019","performance group","Summary Innovation Index","New doctorate graduates","Population with tertiary education","Population involved in lifelong learning","International scientific co-publications","Scientific publications among the top 10% most cited","Foreign doctorate students as a % of all doctorate students","Individuals with above basic overall digital skills","R&D expenditure in the public sector","Venture capital expenditures","Direct and indirect government support of business R&D","R&D expenditure in the business sector","Employed ICT specialists","SMEs introducing product innovations","SMEs introducing business process innovations","Innovative SMEs collaborating with others","Public-private co-publications","Job-to-job mobility of HRST","PCT patent applications","Trademark applications","Design applications","Employment in knowledge-intensive activities","Employment in innovative enterprises","Exports of medium and high technology products","Knowledge-intensive services exports","Sales of new-to-market and new-to-firm innovations","Resource productivity","Air emissions by fine particulates","Environment-related technologies","Broadband penetration","Non-R&D innovation expenditures","Innovation expenditures per person employed","Enterprises providing ICT training","Human resources","Attractive research systems","Digitalisation","Firm investments","Use of information technologies","Innovators","Linkages","Intellectual assets","Employment impacts","Sales impacts","Environmental sustainability","Finance and support"
"SPIRAX-SARCO ENGINEERING",2019,"RoW","UK","Industrial Engineering",807,15.651426,8.06451713129139,1.07855762735324,1451.144158,7.72565680892083,7833,5.80845603133864,59.452058,51.940297324985,4.09690916455455,289.784985,-19.3695156847913,19.9694140242682,0,"Leader",128.5,169.3,140.1,138.7,175.5,148.9,256.7,NA,63.9,150.5,207.7,82.7,129,132.8,98.1,328.6,231,261.8,90,93.5,66.6,150.6,141.4,82.2,113.8,162.9,224.2,89.5,92.5,39.1,89.5,83.7,134.4,152,181.1,39,85.4,131.6,115,279.7,83.3,145.7,113.5,123.7,131.6
"ATRIA",2017,"EU","Finland","Food Producers",822,12.9,-1.9,0.9,1436.2,6.2,4449,3.1,53.1,24.6,3.7,39.4,26.1,2.7,6,"Leader",128.8,146.3,92.2,274.3,225,117.5,117,196.5,132.8,115.5,47.1,140.6,193.5,194.3,148.3,246.8,417.5,152.9,133.2,109.7,113.4,126.5,122.8,61.5,107.3,69.4,9.5,92.9,129.6,102.3,57.7,113.2,206.4,162,141.5,149.7,104.2,199.8,170.9,240.9,120.7,124.5,79.3,83.6,103.4
"ATRIA",2018,"EU","Finland","Food Producers",823,13.692,6.23011870587322,0.951821509136221,1438.505,0.161329853751746,4460,0.247246572263427,44.463,-16.3348637663706,3.09091730650919,28.897,-26.6666666666667,2.00882165859695,6,"Leader",127,134.8,92.2,274.3,233.6,115.2,125,196.5,127.9,117.6,46.2,131.6,193.5,194.3,148.3,246.8,405.1,152.9,133.2,124.1,94.1,126.5,122.8,64.6,107.7,69.4,12.2,93.4,117.7,102.3,57.7,113.2,186.6,157.1,144,149.7,100.9,190.2,170.9,238.4,118.2,124.5,80.7,80.8,101.9
"ATRIA",2019,"EU","Finland","Food Producers",826,15.261,11.4592462751972,1.05155956184674,1451.273,0.887588155758912,4454,-0.134529147982065,39.418,-11.3465128308931,2.71609821170793,32.217,11.4890819116171,2.21991313832752,6,"Leader",127.4,123.2,92.2,274.3,242.1,120.4,131.2,196.5,131.1,129.6,42.4,130.8,193.5,194.3,148.3,246.8,418.4,150,133.2,127.8,86.3,126.5,122.8,63.2,105.5,69.4,9.4,92.8,112.4,102.3,57.7,113.2,207,152.5,150.3,149.7,100.7,200.2,170.9,239.9,116.5,124.5,79.3,78.2,105.9
"BREMBO",2017,"EU","Italy","Automobiles & Parts",612,22.3,29.6,0.9,2463.6,8.1,9837,8.8,326.7,41.1,13.3,330.2,4.9,13.4,271,"Moderate",83.6,76.8,21.6,90.8,79.5,106,75.4,82.4,65.6,87.2,30.8,59.4,77.4,135.5,122.5,56.3,118.4,52.9,75,99.1,128.6,100,108.7,81.3,62.2,75.8,191.5,100.8,86.5,56.7,80.9,60.1,46.5,62.7,92.7,69.5,67,62.2,128.9,67.4,98.5,104.5,73.3,118.6,62.8
"BREMBO",2018,"EU","Italy","Automobiles & Parts",626,23.528,5.58248070364387,0.891208407843755,2640.011,7.15982984388825,10634,8.10206363728778,250.447,-23.3305169320819,9.48658926042354,328.874,-0.406400658962613,12.4572965794461,271,"Moderate",85.2,76.8,21.6,90.8,84.1,108.3,81.1,82.4,62.3,80.4,62.2,59.4,77.4,135.5,122.5,56.3,123.1,52.9,75.4,104.6,141.3,100,108.7,80.8,63.2,75.8,204.4,101.1,83.2,56.7,80.9,60.1,43.3,62.7,96.4,69.5,67,60.8,128.9,68.5,104,104.5,73.4,121.1,68
"BREMBO",2019,"EU","Italy","Automobiles & Parts",968,9.863,-40.2929959440644,0.379642274820514,2597.972,-1.59237972872082,10868,2.20048899755501,213.657,-14.6897347542594,8.22399163655344,296.936,-9.7113180123695,11.4295304183417,271,"Moderate",86,76.8,21.6,90.8,90.4,107.9,85.5,82.4,60.7,81.5,78.5,60.9,77.4,135.5,122.5,56.3,135.5,52.9,76,106.4,134.3,100,108.7,80.6,63.2,75.8,214.3,102.8,74,56.7,80.9,60.1,50.3,62.7,98.7,69.5,67.3,64.1,128.9,71,102.5,104.5,73.3,121.4,72.2
"FREENET",2017,"EU","Germany","Software & Computer Services",782,14.3,-17,0.4,3507.3,4.3,4113,-15.8,61.1,-2.7,1.7,260.8,-6.1,7.4,1,"Strong",119,146.3,73.1,68.4,102.3,113.4,137.2,66.1,136.1,83.1,43.3,148.1,112.9,133.2,118.3,90.6,194.9,200,131.1,108.7,141.1,101.2,160.4,111.7,103.5,102.3,113.7,119.6,123.7,95.1,126.9,161.8,158,102.6,116.8,80.6,145.3,134.9,125.6,158.3,128.5,132,106.4,119.3,93.3
"FREENET",2018,"EU","Germany","Software & Computer Services",780,15.095,5.67768132175861,0.520972463525025,2897.466,-17.3866915597718,4183,1.70192073911986,57.193,-6.42200333780556,1.97389719154599,311.988,19.6130828007407,10.7676155647728,1,"Strong",118.6,134.8,73.1,68.4,105.6,112.9,137.2,66.1,136.1,89.6,44.4,147.4,112.9,133.2,118.3,90.6,200.5,200,129.2,109.8,136.1,101.2,160.4,112.5,104.2,102.3,123,119.7,116.8,95.1,126.9,161.8,153.5,97.7,117.1,80.6,145.1,132.9,125.6,159.8,126.4,132,107,119.5,95.8
"FREENET",2019,"EU","Germany","Software & Computer Services",727,19.168,26.9824445180523,0.653630431461557,2932.544,1.21064405932632,4238,1.31484580444656,45.155,-21.0480303533649,1.5397893433142,269.954,-13.4729540879777,9.20545437681412,1,"Strong",119.1,134.8,73.1,68.4,110,110.4,137.2,66.1,136.1,97.4,44.6,155.6,112.9,133.2,118.3,90.6,208.9,200,128.5,109.7,144.2,101.2,160.4,112.1,104.3,102.3,127.1,120,111.1,95.1,126.9,161.8,145.2,97.7,116.8,80.6,148,128.8,125.6,161.2,128.8,132,107,119,98.3
"TIKKURILA",2017,"EU","Finland","Chemicals",876,10.9,-3.5,1.9,582.4,1.8,3037,0.1,12.7,50.6,2.2,19.1,-63.8,3.3,10,"Leader",128.8,146.3,92.2,274.3,225,117.5,117,196.5,132.8,115.5,47.1,140.6,193.5,194.3,148.3,246.8,417.5,152.9,133.2,109.7,113.4,126.5,122.8,61.5,107.3,69.4,9.5,92.9,129.6,102.3,57.7,113.2,206.4,162,141.5,149.7,104.2,199.8,170.9,240.9,120.7,124.5,79.3,83.6,103.4
"TIKKURILA",2018,"EU","Finland","Chemicals",980,9.234,-15.0584122895778,1.64461146632946,561.47,-3.59242572013352,2717,-10.5367138623642,12.023,-5.02409353029466,2.14134325965768,26.201,37.3074101247249,4.66650043635457,10,"Leader",127,134.8,92.2,274.3,233.6,115.2,125,196.5,127.9,117.6,46.2,131.6,193.5,194.3,148.3,246.8,405.1,152.9,133.2,124.1,94.1,126.5,122.8,64.6,107.7,69.4,12.2,93.4,117.7,102.3,57.7,113.2,186.6,157.1,144,149.7,100.9,190.2,170.9,238.4,118.2,124.5,80.7,80.8,101.9
"TIKKURILA",2019,"EU","Finland","Chemicals",985,9.603,3.99610136452242,1.70316992148356,563.831,0.420503321637833,2607,-4.04858299595142,9.336,-22.3488314064709,1.65581530635953,43.495,66.0051143086142,7.71419095438172,10,"Leader",127.4,123.2,92.2,274.3,242.1,120.4,131.2,196.5,131.1,129.6,42.4,130.8,193.5,194.3,148.3,246.8,418.4,150,133.2,127.8,86.3,126.5,122.8,63.2,105.5,69.4,9.4,92.8,112.4,102.3,57.7,113.2,207,152.5,150.3,149.7,100.7,200.2,170.9,239.9,116.5,124.5,79.3,78.2,105.9
"PRAYON",2017,"EU","Belgium","Chemicals",854,11.8,-8.7,1.8,671.1,3.2,1115,-0.4,23,2.7,3.4,14,214.7,2.1,28,"Strong",120.9,100,156.9,93.9,191.9,135,258.1,99.5,96.7,116.6,151.1,124.8,135.5,154.2,127.3,256.4,274,144.1,94.8,96.9,61,134.9,151.7,75.9,95,55.8,139,99.8,66.8,169.4,80,117.4,172.6,116.6,177.7,134.2,107.4,153.7,140.4,211.6,84.3,143.5,77.4,99.3,118.2
"PRAYON",2018,"EU","Belgium","Chemicals",890,11.417,-2.98266485384093,1.65804749187096,688.581,2.60543946022627,1125,0.896860986547088,NA,NA,NA,14.066,0.249447651628532,2.04275168789148,28,"Strong",122.5,100,156.9,93.9,196.7,138.2,270.1,99.5,106.6,118.4,156.2,127.1,135.5,154.2,127.3,256.4,272.1,144.1,93.3,98.6,58.2,134.9,151.7,74.2,96.7,55.8,147.3,99.2,72,169.4,80,117.4,182.2,116.6,183.4,134.2,108.3,158.4,140.4,211.2,83.2,143.5,77.3,102.6,124.1
"PRAYON",2019,"EU","Belgium","Chemicals",890,12.582,10.2040816326531,1.82723601144963,688.581,2.60543946022627,1125,0.896860986547088,33.615,46.2666434600992,4.88177861428067,14.066,0.249447651628532,2.04275168789148,28,"Strong",120.1,76.8,156.9,93.9,210.3,129.8,121.6,99.5,108.2,120.4,155,137.6,135.5,154.2,127.3,256.4,296,144.1,91.6,101.4,56.8,134.9,151.7,72.8,97.8,55.8,151.4,99.7,77.4,169.4,80,117.4,188.5,107,145.9,134.2,111.9,161.4,140.4,215.9,82.7,143.5,77.1,105.6,125.1
"OXFORD NANOPORE TECHNOLOGIES",2017,"EU","UK","Pharmaceuticals & Biotechnology",455,39.4,-9.4,253.7,15.5,187.9,343,19.1,22.2,550.5,143.1,-74.2,1.4,-477.9,91,"Leader",126.4,158.9,134.1,136.7,156.7,143,262.2,NA,67.2,126.7,207.7,78.9,125.8,132.8,98.1,328.6,210.3,250,94.3,100.5,66.4,145.8,141.4,93.3,112.5,162.9,197.4,85.2,101,39.1,89.5,83.7,140.1,145.2,175.1,39,83.9,132.9,115,270.7,86.7,143.3,117.5,117.8,125.3
"OXFORD NANOPORE TECHNOLOGIES",2018,"EU","UK","Pharmaceuticals & Biotechnology",428,48.476807,24.992137842818,317.117581573208,15.286698,187.888934108158,343,19.0972222222222,21.869503,550.527825941331,143.062308158374,-73.053942,1.42859429761588,-477.892230225259,91,"Leader",127.7,162.8,134.7,135.7,165.6,146.8,263.5,NA,63.9,139.7,207.7,80.5,122.6,132.8,98.1,328.6,222.1,250,92.2,98.4,66.3,145.8,141.4,89.4,113.2,162.9,218.4,87.1,97.6,39.1,89.5,83.7,148.4,146.7,179.3,39,84.5,135.3,115,272.8,85.4,143.3,116.2,122.6,128.2
"OXFORD NANOPORE TECHNOLOGIES",2019,"RoW","UK","Pharmaceuticals & Biotechnology",436,51.066865,24.9921370297509,134.439286102784,37.985076,135.881632306323,408,18.9504373177843,13.0631,-43.2975066720306,34.3900852008299,-73.287218,-4.76877079883713,-192.936873418392,91,"Leader",128.5,169.3,140.1,138.7,175.5,148.9,256.7,NA,63.9,150.5,207.7,82.7,129,132.8,98.1,328.6,231,261.8,90,93.5,66.6,150.6,141.4,82.2,113.8,162.9,224.2,89.5,92.5,39.1,89.5,83.7,134.4,152,181.1,39,85.4,131.6,115,279.7,83.3,145.7,113.5,123.7,131.6
"ROSENBAUER INTERNATIONAL",2017,"EU","Austria","Industrial Engineering",774,14.5,-22,1.7,847.6,-2.7,3405,0.9,22.2,-13.7,2.6,20.4,-48.6,2.4,25,"Strong",123.3,100,106,138.7,185.4,115.8,162,130.4,121.3,71.4,183.7,160.9,100,146.7,158.4,256.1,353.9,123.5,113.7,129.8,159.2,108.4,145.8,91.9,51.4,91.3,97.9,115.7,125.5,79.5,72.8,99.9,179.6,111.9,142.7,105,112.1,139,152.7,218.8,132.5,127.9,77.7,114.3,122.6
"ROSENBAUER INTERNATIONAL",2018,"EU","Austria","Industrial Engineering",779,15.2,4.82758620689654,1.67145376890832,909.388,7.28406349356159,3621,6.34361233480176,18.519,-16.5322035426151,2.03642449647455,48.069,135.747915644924,5.28586258010882,25,"Strong",124,100,106,138.7,188.6,112,169.8,130.4,129.5,81.9,172.5,161.7,100,146.7,158.4,256.1,366.3,123.5,113.6,130.3,154.3,108.4,145.8,92.4,49.9,91.3,108.2,116.2,107.9,79.5,72.8,99.9,201.3,111.9,143.3,105,112.5,149.6,152.7,221.4,131,127.9,77.4,111.7,126.1
"ROSENBAUER INTERNATIONAL",2019,"EU","Austria","Industrial Engineering",712,20.2,32.8947368421053,2.0652897386795,978.071,7.55266179012699,3828,5.71665285832643,17.655,-4.66547869755385,1.80508368001914,51.839,7.84289250868542,5.30012647343598,25,"Strong",122.5,100,106,138.7,199.7,115.9,182.8,130.4,129.5,70.8,164,157.9,100,146.7,158.4,256.1,383,129.4,112.8,133,151.4,108.4,145.8,91.1,50.9,91.3,110.1,118.2,93.2,79.5,72.8,99.9,162.4,111.9,151,105,111,130.6,152.7,227.5,130.3,127.9,77.3,108.5,120.3
"LECTRA",2017,"EU","France","Software & Computer Services",724,16.8,16.6,6,277.2,6.5,1657,6.9,6.7,24.9,2.4,40.2,5.8,14.5,8,"Strong",112.7,123.2,153.3,102,94.4,96.1,232.4,121.3,103.3,148.2,230,105.3,100,111.7,137,149.6,131.4,94.1,104.4,76.5,66.5,114.5,129.4,94.5,83.5,74.1,138,106.2,113.6,144.6,75.3,122.7,64.3,127.3,128.8,133,100.7,82.4,124.7,122.1,85,122.1,85.5,116.4,152.9
"LECTRA",2018,"EU","France","Software & Computer Services",681,20.238,20.6797853309481,7.16242329008557,282.558,1.93253271092095,1693,2.17260108630055,5.809,-13.9024751741515,2.05586109754457,40.666,1.24987551040732,14.3920894117314,8,"Strong",112.7,111.6,153.3,102,97.5,93.9,232.4,121.3,101.6,153.9,230,106,100,111.7,137,149.6,132.8,94.1,104.6,76.8,64.6,114.5,129.4,93,85.3,74.1,152.9,105.8,114.2,144.6,75.3,122.7,64.3,122.6,128.2,133,100.9,82.4,124.7,122.1,84.5,122.1,85.5,120,154
"LECTRA",2019,"EU","France","Software & Computer Services",700,20.585,1.71459630398261,7.35118186720377,280.023,-0.89716093686959,1793,5.90667454223273,4.638,-20.158374935445,1.65629251882881,41.213,1.34510401809866,14.7177196158887,8,"Strong",113.3,123.2,153.3,102,99.4,94.9,232.4,121.3,98.4,154.8,230,105.3,100,111.7,137,149.6,133.5,117.6,103,77.7,65.1,114.5,129.4,92.5,81.4,74.1,159.3,105.8,107.4,144.6,75.3,122.7,64.3,127.3,129.3,133,100.7,82.4,124.7,132.6,84.2,122.1,83.9,119.5,153.1
"CARMAT",2017,"EU","France","Health Care Equipment & Services",713,17.1,19.7,60896.5,0,-83.8,70,25,3.5,261.1,12600,-30.2,23.1,-108007.1,7,"Strong",112.7,123.2,153.3,102,94.4,96.1,232.4,121.3,103.3,148.2,230,105.3,100,111.7,137,149.6,131.4,94.1,104.4,76.5,66.5,114.5,129.4,94.5,83.5,74.1,138,106.2,113.6,144.6,75.3,122.7,64.3,127.3,128.8,133,100.7,82.4,124.7,122.1,85,122.1,85.5,116.4,152.9
"CARMAT",2018,"EU","France","Health Care Equipment & Services",586,27.193406,59.4824641699107,3766.39972299169,0.722,2478.57142857143,90,28.5714285714286,2.177,NA,301.523545706371,-42.049,39.0325353789181,-5823.96121883657,7,"Strong",112.7,111.6,153.3,102,97.5,93.9,232.4,121.3,101.6,153.9,230,106,100,111.7,137,149.6,132.8,94.1,104.6,76.8,64.6,114.5,129.4,93,85.3,74.1,152.9,105.8,114.2,144.6,75.3,122.7,64.3,122.6,128.2,133,100.9,82.4,124.7,122.1,84.5,122.1,85.5,120,154
"CARMAT",2019,"EU","France","Health Care Equipment & Services",588,29.368163,7.99736892098033,NA,NA,NA,103,14.4444444444444,0.613,-71.8419843821773,NA,-42.01,-0.0927489357654188,NA,7,"Strong",113.3,123.2,153.3,102,99.4,94.9,232.4,121.3,98.4,154.8,230,105.3,100,111.7,137,149.6,133.5,117.6,103,77.7,65.1,114.5,129.4,92.5,81.4,74.1,159.3,105.8,107.4,144.6,75.3,122.7,64.3,127.3,129.3,133,100.7,82.4,124.7,132.6,84.2,122.1,83.9,119.5,153.1
"BEIJER ELECTRONICS",2017,"EU","Sweden","Electronic & Electrical Equipment",687,18.3,12.2,14.9,122.5,7.5,702,-1.7,1.8,8,1.5,2,-150.6,1.7,2,"Leader",136.9,169.5,147.3,274.3,264.6,134.9,197.7,141.1,136.1,88.7,91.6,165.4,200,124.1,96.7,147.5,424.9,120.6,133.2,119,106.6,173.5,120.4,86.7,104.1,50.1,63.8,99.6,87.4,199.7,119.1,191.6,175.2,189.6,179.3,170.4,158.1,187.8,110.1,192.4,120.9,145.7,83.4,86.9,108.4
"BEIJER ELECTRONICS",2018,"EU","Sweden","Electronic & Electrical Equipment",689,19.799891,10.5512169857632,14.326789914689,138.201866,17.5243298439907,713,1.56695156695157,2.287892,31.7646001838341,1.65547113524502,7.080256,260.672619926951,5.12312619570564,2,"Leader",137.3,157.9,147.3,274.3,272.9,132.7,210.2,141.1,136.1,95.1,87.4,166.9,200,124.1,96.7,147.5,419.7,120.6,133.2,124.9,106,173.5,120.4,85.6,100.9,50.1,71,102.7,95.6,199.7,119.1,191.6,175.2,184.6,182.9,170.4,158.7,187.8,110.1,191.3,122.2,145.7,81.8,92.7,109.4
"BEIJER ELECTRONICS",2019,"EU","Sweden","Electronic & Electrical Equipment",683,21.523366,10.7394898187825,14.4255559535368,149.203026,9.98130171508751,773,8.41514726507715,3.154161,40.4440995116321,2.11400605239736,9.653261,38.892943960162,6.4698828561292,2,"Leader",138.4,146.3,147.3,274.3,284.9,137.4,213,141.1,136.1,102.6,85.3,172.2,200,124.1,96.7,147.5,447.6,120.6,133.2,129.8,103.9,173.5,120.4,85.6,98.8,50.1,69,104.5,108.6,199.7,119.1,191.6,175.2,179.7,188.9,170.4,160.5,187.8,110.1,196.7,122.7,145.7,81.1,96.9,111.3
"LINEDATA SERVICES",2017,"EU","France","Software & Computer Services",589,24.5,28.6,13.7,179,7.3,1237,33.9,10.5,153.4,5.9,29.8,-25,16.6,0,"Strong",112.7,123.2,153.3,102,94.4,96.1,232.4,121.3,103.3,148.2,230,105.3,100,111.7,137,149.6,131.4,94.1,104.4,76.5,66.5,114.5,129.4,94.5,83.5,74.1,138,106.2,113.6,144.6,75.3,122.7,64.3,127.3,128.8,133,100.7,82.4,124.7,122.1,85,122.1,85.5,116.4,152.9
"LINEDATA SERVICES",2018,"EU","France","Software & Computer Services",636,22.497,-8.07044785877738,12.9862558229478,173.237,-3.22009374249307,1242,0.404203718674201,13.031,23.6337760910816,7.52206514774557,33.767,13.3957955537645,19.4917944780849,0,"Strong",112.7,111.6,153.3,102,97.5,93.9,232.4,121.3,101.6,153.9,230,106,100,111.7,137,149.6,132.8,94.1,104.6,76.8,64.6,114.5,129.4,93,85.3,74.1,152.9,105.8,114.2,144.6,75.3,122.7,64.3,122.6,128.2,133,100.9,82.4,124.7,122.1,84.5,122.1,85.5,120,154
"LINEDATA SERVICES",2019,"EU","France","Software & Computer Services",741,18.8,-16.4333022180735,11.0814427095306,169.653,-2.06884210647841,1269,2.17391304347827,11.039,-15.2866242038217,6.50681096119727,38.686,14.5674771226345,22.8030155670693,0,"Strong",113.3,123.2,153.3,102,99.4,94.9,232.4,121.3,98.4,154.8,230,105.3,100,111.7,137,149.6,133.5,117.6,103,77.7,65.1,114.5,129.4,92.5,81.4,74.1,159.3,105.8,107.4,144.6,75.3,122.7,64.3,127.3,129.3,133,100.7,82.4,124.7,132.6,84.2,122.1,83.9,119.5,153.1
"LUFTHANSA",2017,"EU","Germany","Travel & Leisure",498,34,41.7,0.1,35579,12.4,129424,4.1,3215,32.6,9,2994,34.4,8.4,246,"Strong",119,146.3,73.1,68.4,102.3,113.4,137.2,66.1,136.1,83.1,43.3,148.1,112.9,133.2,118.3,90.6,194.9,200,131.1,108.7,141.1,101.2,160.4,111.7,103.5,102.3,113.7,119.6,123.7,95.1,126.9,161.8,158,102.6,116.8,80.6,145.3,134.9,125.6,158.3,128.5,132,106.4,119.3,93.3
"LUFTHANSA",2018,"EU","Germany","Travel & Leisure",432,48,41.1764705882353,0.133913625711416,35844,0.744821383400329,135534,4.7209172950921,4097,15.4735062006764,11.4300859279098,2758,-9.98694516971279,7.69445374400178,246,"Strong",118.6,134.8,73.1,68.4,105.6,112.9,137.2,66.1,136.1,89.6,44.4,147.4,112.9,133.2,118.3,90.6,200.5,200,129.2,109.8,136.1,101.2,160.4,112.5,104.2,102.3,123,119.7,116.8,95.1,126.9,161.8,153.5,97.7,117.1,80.6,145.1,132.9,125.6,159.8,126.4,132,107,119.5,95.8
"LUFTHANSA",2019,"EU","Germany","Travel & Leisure",428,52,8.33333333333333,0.14276301339776,36424,1.61812297734627,138353,2.07992090545546,3717,-9.27507932633634,10.2048100153745,1620,-41.2617839013778,4.44761695585328,246,"Strong",119.1,134.8,73.1,68.4,110,110.4,137.2,66.1,136.1,97.4,44.6,155.6,112.9,133.2,118.3,90.6,208.9,200,128.5,109.7,144.2,101.2,160.4,112.1,104.3,102.3,127.1,120,111.1,95.1,126.9,161.8,145.2,97.7,116.8,80.6,148,128.8,125.6,161.2,128.8,132,107,119,98.3
"PICANOL",2017,"EU","Belgium","Industrial Engineering",864,11.5,-11.5,1.7,688.9,7.7,2262,7.1,12.1,71.2,1.8,120.8,-0.2,17.5,115,"Strong",120.9,100,156.9,93.9,191.9,135,258.1,99.5,96.7,116.6,151.1,124.8,135.5,154.2,127.3,256.4,274,144.1,94.8,96.9,61,134.9,151.7,75.9,95,55.8,139,99.8,66.8,169.4,80,117.4,172.6,116.6,177.7,134.2,107.4,153.7,140.4,211.6,84.3,143.5,77.4,99.3,118.2
"PICANOL",2018,"EU","Belgium","Industrial Engineering",805,14.1,22.6086956521739,2.11486253393529,666.71,-3.22501045101955,2306,1.94518125552607,11.503,-5.02022954339031,1.72533785303955,102.016,-15.528690900058,15.3014054086484,115,"Strong",122.5,100,156.9,93.9,196.7,138.2,270.1,99.5,106.6,118.4,156.2,127.1,135.5,154.2,127.3,256.4,272.1,144.1,93.3,98.6,58.2,134.9,151.7,74.2,96.7,55.8,147.3,99.2,72,169.4,80,117.4,182.2,116.6,183.4,134.2,108.3,158.4,140.4,211.2,83.2,143.5,77.3,102.6,124.1
"PICANOL",2019,"EU","Belgium","Industrial Engineering",632,24.9,76.5957446808511,1.12091473845323,2221.4,233.188342757721,7000,203.555941023417,118.2,927.558028340433,5.32096875844062,75.5,-25.9920012547051,3.39875754028991,115,"Strong",120.1,76.8,156.9,93.9,210.3,129.8,121.6,99.5,108.2,120.4,155,137.6,135.5,154.2,127.3,256.4,296,144.1,91.6,101.4,56.8,134.9,151.7,72.8,97.8,55.8,151.4,99.7,77.4,169.4,80,117.4,188.5,107,145.9,134.2,111.9,161.4,140.4,215.9,82.7,143.5,77.1,105.6,125.1
"AMINO TECHNOLOGIES",2017,"EU","UK","Software & Computer Services",867,11.3,5.2,13.3,84.8,0.2,202,6.3,0.2,-70.2,0.3,11.4,270.1,13.5,0,"Leader",126.4,158.9,134.1,136.7,156.7,143,262.2,NA,67.2,126.7,207.7,78.9,125.8,132.8,98.1,328.6,210.3,250,94.3,100.5,66.4,145.8,141.4,93.3,112.5,162.9,197.4,85.2,101,39.1,89.5,83.7,140.1,145.2,175.1,39,83.9,132.9,115,270.7,86.7,143.3,117.5,117.8,125.3
"AMINO TECHNOLOGIES",2018,"EU","UK","Software & Computer Services",964,9.639296,-13.2544857410646,12.4103262691618,77.671576,-7.4914702899229,179,-11.3861386138614,0.154585,-34.9263746348199,0.199023900326163,6.949341,-41.1028873339707,8.94708380836768,0,"Leader",127.7,162.8,134.7,135.7,165.6,146.8,263.5,NA,63.9,139.7,207.7,80.5,122.6,132.8,98.1,328.6,222.1,250,92.2,98.4,66.3,145.8,141.4,89.4,113.2,162.9,218.4,87.1,97.6,39.1,89.5,83.7,148.4,146.7,179.3,39,84.5,135.3,115,272.8,85.4,143.3,116.2,122.6,128.2
"AMINO TECHNOLOGIES",2019,"RoW","UK","Software & Computer Services",914,11.445612,16.4990472933359,16.6483224908294,68.749341,-13.1569471495525,250,39.6648044692737,0.06142,-61.0172826342213,0.0893390381734714,4.220224,-38.5721788077697,6.13856647731358,0,"Leader",128.5,169.3,140.1,138.7,175.5,148.9,256.7,NA,63.9,150.5,207.7,82.7,129,132.8,98.1,328.6,231,261.8,90,93.5,66.6,150.6,141.4,82.2,113.8,162.9,224.2,89.5,92.5,39.1,89.5,83.7,134.4,152,181.1,39,85.4,131.6,115,279.7,83.3,145.7,113.5,123.7,131.6
"MASCHINENFABRIK BERTHOLD HERMLE",2017,"EU","Germany","Industrial Engineering",816,13.3,10,3.3,402,2,1053,4.4,17.6,13.1,4.4,97.2,-2.6,24.2,55,"Strong",119,146.3,73.1,68.4,102.3,113.4,137.2,66.1,136.1,83.1,43.3,148.1,112.9,133.2,118.3,90.6,194.9,200,131.1,108.7,141.1,101.2,160.4,111.7,103.5,102.3,113.7,119.6,123.7,95.1,126.9,161.8,158,102.6,116.8,80.6,145.3,134.9,125.6,158.3,128.5,132,106.4,119.3,93.3
"MASCHINENFABRIK BERTHOLD HERMLE",2018,"EU","Germany","Industrial Engineering",811,13.994,5.25761564497931,3.08971522690441,452.922,12.6646418363768,1225,16.3342830009497,10.955,-37.6813243074123,2.41873876738158,111.511,14.7315135863694,24.6203540565484,55,"Strong",118.6,134.8,73.1,68.4,105.6,112.9,137.2,66.1,136.1,89.6,44.4,147.4,112.9,133.2,118.3,90.6,200.5,200,129.2,109.8,136.1,101.2,160.4,112.5,104.2,102.3,123,119.7,116.8,95.1,126.9,161.8,153.5,97.7,117.1,80.6,145.1,132.9,125.6,159.8,126.4,132,107,119.5,95.8
"MASCHINENFABRIK BERTHOLD HERMLE",2019,"EU","Germany","Industrial Engineering",836,14.904,6.50278690867514,3.21831832934211,463.099,2.24696526112662,1296,5.79591836734694,12.617,15.1711547238704,2.72447144131169,113.628,1.89846741577064,24.5364382129955,55,"Strong",119.1,134.8,73.1,68.4,110,110.4,137.2,66.1,136.1,97.4,44.6,155.6,112.9,133.2,118.3,90.6,208.9,200,128.5,109.7,144.2,101.2,160.4,112.1,104.3,102.3,127.1,120,111.1,95.1,126.9,161.8,145.2,97.7,116.8,80.6,148,128.8,125.6,161.2,128.8,132,107,119,98.3
"INTERPUMP",2017,"EU","Italy","Industrial Engineering",630,21.2,14.2,2,1086.5,17.7,5750,14.6,44.5,39.4,4.1,200.8,29.9,18.5,23,"Moderate",83.6,76.8,21.6,90.8,79.5,106,75.4,82.4,65.6,87.2,30.8,59.4,77.4,135.5,122.5,56.3,118.4,52.9,75,99.1,128.6,100,108.7,81.3,62.2,75.8,191.5,100.8,86.5,56.7,80.9,60.1,46.5,62.7,92.7,69.5,67,62.2,128.9,67.4,98.5,104.5,73.3,118.6,62.8
