company,patents_2010_2019,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
POSTE ITALIANE,4,0,2,0,0,0,0,1,0,0,1
F-SECURE,63,11,14,30,30,18,10,6,3,1,1
GUERBET,37,7,9,9,10,8,7,8,12,11,8
AHOLD,4,1,1,0,1,0,0,1,1,0,1
GRAMMER,311,25,29,40,35,41,43,42,37,37,44
AKKA TECHNOLOGIES,0,0,0,0,0,0,0,0,0,0,0
CHR HANSEN,242,59,44,52,46,52,62,63,83,74,78
NORDEX,334,31,29,43,34,34,38,40,46,72,85
BOLIDEN,5,2,1,1,1,1,1,0,0,1,0
WILO,189,41,26,23,16,18,36,15,27,21,17
ION BEAM APPLICATIONS,137,26,30,28,27,19,16,20,17,30,18
LATECOERE,53,3,2,12,1,10,6,9,11,8,14
VAISALA,38,7,11,10,8,9,5,6,2,4,4
IMA INDUSTRIA MACCHINE AUTOMATICHE,339,45,54,47,42,51,57,55,66,91,98
FORTUM,37,2,2,8,9,5,3,11,8,5,10
HALMA,2,1,0,0,1,0,0,0,0,0,0
ELMOS SEMICONDUCTOR,409,10,8,16,23,42,72,63,78,91,90
BAVARIAN NORDIC,65,18,23,23,14,22,22,20,24,17,20
TATE & LYLE,127,45,30,21,19,37,36,38,41,24,24
CEZ,17,0,1,1,2,5,2,0,2,3,3
ROCKWOOL INTERNATIONAL,254,42,34,49,69,77,65,56,64,57,55
FUNKWERK,22,8,9,6,6,0,1,0,0,0,0
HALDEX,177,38,39,30,37,34,27,33,43,29,33
NATS,7,2,4,2,1,0,0,1,1,1,0
VOSSLOH,256,47,54,52,56,50,44,38,41,42,33
VALIO,69,18,12,14,13,17,25,18,28,28,19
INTRALOT,44,7,7,7,8,11,13,18,17,16,17
WACKER NEUSON,125,26,22,22,25,25,20,14,5,3,10
JENOPTIK,461,49,48,50,60,77,68,66,64,86,73
DATALOGIC,245,38,34,42,48,30,28,32,43,58,40
WENDEL,63,7,15,28,13,7,4,2,2,2,2
INDUSTRIAL AND FINANCIAL SYSTEMS,10,0,2,1,3,1,5,3,4,1,1
BE SEMICONDUCTOR INDUSTRIES,0,0,0,0,0,0,0,0,0,0,0
WITTINGTON INVESTMENTS,0,0,0,0,0,0,0,0,0,0,0
FUCHS PETROLUB,19,2,3,1,2,1,6,4,6,9,10
CRODA INTERNATIONAL,118,22,19,17,20,23,34,34,40,27,32
GENUS,25,3,8,4,6,7,4,4,5,4,7
