company,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
LKAB,0,2,3,3,4,1,5,3,5,1
ENRICHMENT TECHNOLOGY,1,0,0,2,13,12,9,9,8,7
MIBA,30,37,31,32,26,30,27,39,47,71
SBM OFFSHORE,0,0,0,0,0,0,0,0,0,0
KAPSCH TRAFFICCOM,13,31,49,50,49,46,46,19,21,7
POSTEN NORDEN,0,0,0,0,0,0,0,1,1,1
BIC,75,77,63,63,60,71,55,62,82,103
ANGLO AMERICAN,1,1,1,0,0,1,1,5,4,6
KONECRANES,17,19,24,31,44,57,58,62,63,68
NOLATO,3,3,2,2,1,0,1,1,2,4
SSAB,2,2,3,1,4,3,5,8,9,11
METSALIITTO,2,9,5,12,17,26,21,23,4,13
OUTOKUMPU,21,20,16,19,24,42,24,33,26,31
AMARIN,8,12,12,14,17,15,11,13,13,14
JAMES HARDIE INDUSTRIES,0,0,0,0,0,0,0,0,0,0
CARRARO,15,10,10,8,8,6,5,5,8,6
DIASORIN,2,7,4,3,4,2,3,7,5,2
PHARMING,3,6,3,4,1,2,2,2,1,6
ACTIA,4,7,1,2,2,2,1,1,1,1
NAPP PHARMACEUTICAL,1,1,0,0,1,0,0,1,0,1
NATIONAL GRID,0,1,0,0,1,0,9,1,1,0
DE LA RUE,49,65,52,39,39,55,51,69,62,68
SCHALTBAU,6,3,8,9,8,16,11,9,7,8
BAUER,601,561,548,397,306,214,231,271,278,252
ALLIED IRISH BANKS,0,0,0,0,0,0,0,0,0,0
FIVES,26,40,45,31,51,72,94,88,87,73
VETOQUINOL,7,5,5,2,1,5,2,2,5,5
K+S,3,3,5,6,8,6,9,3,9,18
ESI,3,9,8,5,6,2,2,6,6,4
HIKMA PHARMACEUTICALS,0,0,0,0,1,1,0,2,1,4
YIT,11,8,9,7,4,1,0,4,1,0
N BROWN,0,0,0,0,0,0,0,0,0,0
WEIR,56,62,54,57,43,45,45,59,49,49
SYMPHOGEN,17,21,16,10,6,9,5,8,10,6
ARUP,15,14,20,12,10,4,6,6,3,3
EVS BROADCAST EQUIPMENT,0,0,0,0,0,0,1,1,5,4
HUHTAMAKI,36,44,43,34,25,28,24,24,23,27
UPONOR,37,26,32,35,26,32,23,36,26,19
SDL,2,2,5,7,8,8,0,1,2,3
RECTICEL,20,22,19,12,10,10,15,12,9,7
OMV,1,2,2,2,3,5,2,2,1,2
GEOX,24,28,29,19,16,17,22,18,14,19
UNIBEL,0,0,0,0,0,0,0,0,0,0
QINETIQ,127,116,75,53,39,30,31,29,20,27
PALFINGER,21,21,15,21,21,22,15,19,15,19
TELIT COMMUNICATIONS,1,1,0,0,0,0,1,0,0,3
OXFORD INSTRUMENTS,17,9,10,17,22,22,13,20,7,12
ATLANTIA,1,0,0,0,0,0,0,0,0,0
DIAGEO,4,2,6,5,3,4,2,3,2,1
BASWARE,0,0,0,0,0,0,0,0,0,0
ARLA FOODS,7,16,12,19,21,24,24,26,22,17
NYKREDIT REALKREDIT,0,0,0,0,0,0,0,0,0,0
PSI,13,17,11,9,9,11,9,6,3,11
BIOINVENT INTERNATIONAL,5,5,11,7,6,7,4,1,3,4
LANSFORSAKRINGAR,0,0,0,0,0,0,0,0,0,0
CAF,2,7,4,4,3,3,3,2,1,6
OREXO,7,12,9,11,5,6,7,6,6,3
DSV,1,1,0,0,0,0,0,1,0,0
GLANBIA,3,5,6,4,9,9,7,6,13,7
MANITOU BF,22,19,11,8,6,5,8,8,9,9
SAES GETTERS,39,30,29,28,38,28,21,22,18,12
STRABAG,3,8,6,7,15,4,0,2,4,2
